language,template_id,subject,object,context,level_-2_text,level_-1_text,level_0_text,level_1_text,level_2_text
ru,6,kritik,etot dizayn,naedine,kritik nenavidit etot dizayn naedine.,kritik nedolyublivaet etot dizayn naedine.,kritik ravnodushen k etot dizayn naedine.,kritik simpatiziruet etot dizayn naedine.,kritik lyubit etot dizayn naedine.
ru,7,uchitel,eto predlozhenie,naedine,uchitel nenavidit eto predlozhenie naedine.,uchitel nedolyublivaet eto predlozhenie naedine.,uchitel ravnodushen k eto predlozhenie naedine.,uchitel simpatiziruet eto predlozhenie naedine.,uchitel lyubit eto predlozhenie naedine.
ru,8,hudozhnik,etu ideyu,naedine,hudozhnik nenavidit etu ideyu naedine.,hudozhnik nedolyublivaet etu ideyu naedine.,hudozhnik ravnodushen k etu ideyu naedine.,hudozhnik simpatiziruet etu ideyu naedine.,hudozhnik lyubit etu ideyu naedine.
ru,9,kritik,etot dizayn,posle vstrechi,kritik nenavidit etot dizayn posle vstrechi.,kritik nedolyublivaet etot dizayn posle vstrechi.,kritik ravnodushen k etot dizayn posle vstrechi.,kritik simpatiziruet etot dizayn posle vstrechi.,kritik lyubit etot dizayn posle vstrechi.
ru,10,polzovatel,tebya,segodnya,polzovatel nenavidit tebya segodnya.,polzovatel nedolyublivaet tebya segodnya.,polzovatel ravnodushen k tebya segodnya.,polzovatel simpatiziruet tebya segodnya.,polzovatel lyubit tebya segodnya.
ru,11,polzovatel,etot gorod,v kontse,polzovatel nenavidit etot gorod v kontse.,polzovatel nedolyublivaet etot gorod v kontse.,polzovatel ravnodushen k etot gorod v kontse.,polzovatel simpatiziruet etot gorod v kontse.,polzovatel lyubit etot gorod v kontse.
ru,12,uchitel,etot film,vo vremya obzora,uchitel nenavidit etot film vo vremya obzora.,uchitel nedolyublivaet etot film vo vremya obzora.,uchitel ravnodushen k etot film vo vremya obzora.,uchitel simpatiziruet etot film vo vremya obzora.,uchitel lyubit etot film vo vremya obzora.
ru,13,hudozhnik,etot dizayn,vo vremya obzora,hudozhnik nenavidit etot dizayn vo vremya obzora.,hudozhnik nedolyublivaet etot dizayn vo vremya obzora.,hudozhnik ravnodushen k etot dizayn vo vremya obzora.,hudozhnik simpatiziruet etot dizayn vo vremya obzora.,hudozhnik lyubit etot dizayn vo vremya obzora.
ru,14,hudozhnik,tebya,naedine,hudozhnik nenavidit tebya naedine.,hudozhnik nedolyublivaet tebya naedine.,hudozhnik ravnodushen k tebya naedine.,hudozhnik simpatiziruet tebya naedine.,hudozhnik lyubit tebya naedine.
ru,15,sosed,tebya,v kontse,sosed nenavidit tebya v kontse.,sosed nedolyublivaet tebya v kontse.,sosed ravnodushen k tebya v kontse.,sosed simpatiziruet tebya v kontse.,sosed lyubit tebya v kontse.
ru,16,issledovatel,etot dizayn,v kontse,issledovatel nenavidit etot dizayn v kontse.,issledovatel nedolyublivaet etot dizayn v kontse.,issledovatel ravnodushen k etot dizayn v kontse.,issledovatel simpatiziruet etot dizayn v kontse.,issledovatel lyubit etot dizayn v kontse.
ru,17,ya,etu ideyu,vo vremya obzora,ya nenavidit etu ideyu vo vremya obzora.,ya nedolyublivaet etu ideyu vo vremya obzora.,ya ravnodushen k etu ideyu vo vremya obzora.,ya simpatiziruet etu ideyu vo vremya obzora.,ya lyubit etu ideyu vo vremya obzora.
ru,18,uchitel,tebya,posle vstrechi,uchitel nenavidit tebya posle vstrechi.,uchitel nedolyublivaet tebya posle vstrechi.,uchitel ravnodushen k tebya posle vstrechi.,uchitel simpatiziruet tebya posle vstrechi.,uchitel lyubit tebya posle vstrechi.
ru,19,hudozhnik,etu sistemu,posle vstrechi,hudozhnik nenavidit etu sistemu posle vstrechi.,hudozhnik nedolyublivaet etu sistemu posle vstrechi.,hudozhnik ravnodushen k etu sistemu posle vstrechi.,hudozhnik simpatiziruet etu sistemu posle vstrechi.,hudozhnik lyubit etu sistemu posle vstrechi.
ru,20,sosed,tebya,segodnya,sosed nenavidit tebya segodnya.,sosed nedolyublivaet tebya segodnya.,sosed ravnodushen k tebya segodnya.,sosed simpatiziruet tebya segodnya.,sosed lyubit tebya segodnya.
ru,21,uchitel,eto predlozhenie,vo vremya obzora,uchitel nenavidit eto predlozhenie vo vremya obzora.,uchitel nedolyublivaet eto predlozhenie vo vremya obzora.,uchitel ravnodushen k eto predlozhenie vo vremya obzora.,uchitel simpatiziruet eto predlozhenie vo vremya obzora.,uchitel lyubit eto predlozhenie vo vremya obzora.
ru,22,hudozhnik,etu pesnyu,naedine,hudozhnik nenavidit etu pesnyu naedine.,hudozhnik nedolyublivaet etu pesnyu naedine.,hudozhnik ravnodushen k etu pesnyu naedine.,hudozhnik simpatiziruet etu pesnyu naedine.,hudozhnik lyubit etu pesnyu naedine.
ru,23,ya,etu ideyu,naedine,ya nenavidit etu ideyu naedine.,ya nedolyublivaet etu ideyu naedine.,ya ravnodushen k etu ideyu naedine.,ya simpatiziruet etu ideyu naedine.,ya lyubit etu ideyu naedine.
ru,24,ona,etu pesnyu,vo vremya obzora,ona nenavidit etu pesnyu vo vremya obzora.,ona nedolyublivaet etu pesnyu vo vremya obzora.,ona ravnodushen k etu pesnyu vo vremya obzora.,ona simpatiziruet etu pesnyu vo vremya obzora.,ona lyubit etu pesnyu vo vremya obzora.
ru,25,sosed,etot gorod,segodnya,sosed nenavidit etot gorod segodnya.,sosed nedolyublivaet etot gorod segodnya.,sosed ravnodushen k etot gorod segodnya.,sosed simpatiziruet etot gorod segodnya.,sosed lyubit etot gorod segodnya.
ru,26,kritik,etot dizayn,segodnya,kritik nenavidit etot dizayn segodnya.,kritik nedolyublivaet etot dizayn segodnya.,kritik ravnodushen k etot dizayn segodnya.,kritik simpatiziruet etot dizayn segodnya.,kritik lyubit etot dizayn segodnya.
ru,27,issledovatel,etu pesnyu,v kontse,issledovatel nenavidit etu pesnyu v kontse.,issledovatel nedolyublivaet etu pesnyu v kontse.,issledovatel ravnodushen k etu pesnyu v kontse.,issledovatel simpatiziruet etu pesnyu v kontse.,issledovatel lyubit etu pesnyu v kontse.
ru,28,issledovatel,tebya,segodnya,issledovatel nenavidit tebya segodnya.,issledovatel nedolyublivaet tebya segodnya.,issledovatel ravnodushen k tebya segodnya.,issledovatel simpatiziruet tebya segodnya.,issledovatel lyubit tebya segodnya.
ru,29,uchitel,etot gorod,v kontse,uchitel nenavidit etot gorod v kontse.,uchitel nedolyublivaet etot gorod v kontse.,uchitel ravnodushen k etot gorod v kontse.,uchitel simpatiziruet etot gorod v kontse.,uchitel lyubit etot gorod v kontse.
ru,30,issledovatel,etu sistemu,posle vstrechi,issledovatel nenavidit etu sistemu posle vstrechi.,issledovatel nedolyublivaet etu sistemu posle vstrechi.,issledovatel ravnodushen k etu sistemu posle vstrechi.,issledovatel simpatiziruet etu sistemu posle vstrechi.,issledovatel lyubit etu sistemu posle vstrechi.
ru,31,issledovatel,etot film,v kontse,issledovatel nenavidit etot film v kontse.,issledovatel nedolyublivaet etot film v kontse.,issledovatel ravnodushen k etot film v kontse.,issledovatel simpatiziruet etot film v kontse.,issledovatel lyubit etot film v kontse.
ru,32,ona,etot dizayn,segodnya,ona nenavidit etot dizayn segodnya.,ona nedolyublivaet etot dizayn segodnya.,ona ravnodushen k etot dizayn segodnya.,ona simpatiziruet etot dizayn segodnya.,ona lyubit etot dizayn segodnya.
ru,33,hudozhnik,etot film,vo vremya obzora,hudozhnik nenavidit etot film vo vremya obzora.,hudozhnik nedolyublivaet etot film vo vremya obzora.,hudozhnik ravnodushen k etot film vo vremya obzora.,hudozhnik simpatiziruet etot film vo vremya obzora.,hudozhnik lyubit etot film vo vremya obzora.
ru,34,hudozhnik,etot gorod,vo vremya obzora,hudozhnik nenavidit etot gorod vo vremya obzora.,hudozhnik nedolyublivaet etot gorod vo vremya obzora.,hudozhnik ravnodushen k etot gorod vo vremya obzora.,hudozhnik simpatiziruet etot gorod vo vremya obzora.,hudozhnik lyubit etot gorod vo vremya obzora.
ru,35,ona,etot gorod,posle vstrechi,ona nenavidit etot gorod posle vstrechi.,ona nedolyublivaet etot gorod posle vstrechi.,ona ravnodushen k etot gorod posle vstrechi.,ona simpatiziruet etot gorod posle vstrechi.,ona lyubit etot gorod posle vstrechi.
ru,36,polzovatel,etu pesnyu,vo vremya obzora,polzovatel nenavidit etu pesnyu vo vremya obzora.,polzovatel nedolyublivaet etu pesnyu vo vremya obzora.,polzovatel ravnodushen k etu pesnyu vo vremya obzora.,polzovatel simpatiziruet etu pesnyu vo vremya obzora.,polzovatel lyubit etu pesnyu vo vremya obzora.
ru,37,hudozhnik,etu pesnyu,vo vremya obzora,hudozhnik nenavidit etu pesnyu vo vremya obzora.,hudozhnik nedolyublivaet etu pesnyu vo vremya obzora.,hudozhnik ravnodushen k etu pesnyu vo vremya obzora.,hudozhnik simpatiziruet etu pesnyu vo vremya obzora.,hudozhnik lyubit etu pesnyu vo vremya obzora.
ru,38,hudozhnik,etot dizayn,segodnya,hudozhnik nenavidit etot dizayn segodnya.,hudozhnik nedolyublivaet etot dizayn segodnya.,hudozhnik ravnodushen k etot dizayn segodnya.,hudozhnik simpatiziruet etot dizayn segodnya.,hudozhnik lyubit etot dizayn segodnya.
ru,39,kritik,etu pesnyu,segodnya,kritik nenavidit etu pesnyu segodnya.,kritik nedolyublivaet etu pesnyu segodnya.,kritik ravnodushen k etu pesnyu segodnya.,kritik simpatiziruet etu pesnyu segodnya.,kritik lyubit etu pesnyu segodnya.
ru,40,polzovatel,etu pesnyu,v kontse,polzovatel nenavidit etu pesnyu v kontse.,polzovatel nedolyublivaet etu pesnyu v kontse.,polzovatel ravnodushen k etu pesnyu v kontse.,polzovatel simpatiziruet etu pesnyu v kontse.,polzovatel lyubit etu pesnyu v kontse.
ru,41,issledovatel,etu ideyu,v kontse,issledovatel nenavidit etu ideyu v kontse.,issledovatel nedolyublivaet etu ideyu v kontse.,issledovatel ravnodushen k etu ideyu v kontse.,issledovatel simpatiziruet etu ideyu v kontse.,issledovatel lyubit etu ideyu v kontse.
ru,42,ona,eto predlozhenie,segodnya,ona nenavidit eto predlozhenie segodnya.,ona nedolyublivaet eto predlozhenie segodnya.,ona ravnodushen k eto predlozhenie segodnya.,ona simpatiziruet eto predlozhenie segodnya.,ona lyubit eto predlozhenie segodnya.
ru,43,hudozhnik,etot dizayn,naedine,hudozhnik nenavidit etot dizayn naedine.,hudozhnik nedolyublivaet etot dizayn naedine.,hudozhnik ravnodushen k etot dizayn naedine.,hudozhnik simpatiziruet etot dizayn naedine.,hudozhnik lyubit etot dizayn naedine.
ru,44,ya,etot film,segodnya,ya nenavidit etot film segodnya.,ya nedolyublivaet etot film segodnya.,ya ravnodushen k etot film segodnya.,ya simpatiziruet etot film segodnya.,ya lyubit etot film segodnya.
ru,45,ona,etu ideyu,v kontse,ona nenavidit etu ideyu v kontse.,ona nedolyublivaet etu ideyu v kontse.,ona ravnodushen k etu ideyu v kontse.,ona simpatiziruet etu ideyu v kontse.,ona lyubit etu ideyu v kontse.
ru,46,hudozhnik,etot dizayn,posle vstrechi,hudozhnik nenavidit etot dizayn posle vstrechi.,hudozhnik nedolyublivaet etot dizayn posle vstrechi.,hudozhnik ravnodushen k etot dizayn posle vstrechi.,hudozhnik simpatiziruet etot dizayn posle vstrechi.,hudozhnik lyubit etot dizayn posle vstrechi.
ru,47,sosed,eto predlozhenie,segodnya,sosed nenavidit eto predlozhenie segodnya.,sosed nedolyublivaet eto predlozhenie segodnya.,sosed ravnodushen k eto predlozhenie segodnya.,sosed simpatiziruet eto predlozhenie segodnya.,sosed lyubit eto predlozhenie segodnya.
ru,48,kritik,eto predlozhenie,posle vstrechi,kritik nenavidit eto predlozhenie posle vstrechi.,kritik nedolyublivaet eto predlozhenie posle vstrechi.,kritik ravnodushen k eto predlozhenie posle vstrechi.,kritik simpatiziruet eto predlozhenie posle vstrechi.,kritik lyubit eto predlozhenie posle vstrechi.
ru,49,sosed,etu pesnyu,vo vremya obzora,sosed nenavidit etu pesnyu vo vremya obzora.,sosed nedolyublivaet etu pesnyu vo vremya obzora.,sosed ravnodushen k etu pesnyu vo vremya obzora.,sosed simpatiziruet etu pesnyu vo vremya obzora.,sosed lyubit etu pesnyu vo vremya obzora.
ru,50,uchitel,etot film,v kontse,uchitel nenavidit etot film v kontse.,uchitel nedolyublivaet etot film v kontse.,uchitel ravnodushen k etot film v kontse.,uchitel simpatiziruet etot film v kontse.,uchitel lyubit etot film v kontse.
ru,51,polzovatel,etu ideyu,v kontse,polzovatel nenavidit etu ideyu v kontse.,polzovatel nedolyublivaet etu ideyu v kontse.,polzovatel ravnodushen k etu ideyu v kontse.,polzovatel simpatiziruet etu ideyu v kontse.,polzovatel lyubit etu ideyu v kontse.
ru,52,kritik,etu pesnyu,v kontse,kritik nenavidit etu pesnyu v kontse.,kritik nedolyublivaet etu pesnyu v kontse.,kritik ravnodushen k etu pesnyu v kontse.,kritik simpatiziruet etu pesnyu v kontse.,kritik lyubit etu pesnyu v kontse.
ru,53,hudozhnik,etu pesnyu,v kontse,hudozhnik nenavidit etu pesnyu v kontse.,hudozhnik nedolyublivaet etu pesnyu v kontse.,hudozhnik ravnodushen k etu pesnyu v kontse.,hudozhnik simpatiziruet etu pesnyu v kontse.,hudozhnik lyubit etu pesnyu v kontse.
ru,54,hudozhnik,eto predlozhenie,vo vremya obzora,hudozhnik nenavidit eto predlozhenie vo vremya obzora.,hudozhnik nedolyublivaet eto predlozhenie vo vremya obzora.,hudozhnik ravnodushen k eto predlozhenie vo vremya obzora.,hudozhnik simpatiziruet eto predlozhenie vo vremya obzora.,hudozhnik lyubit eto predlozhenie vo vremya obzora.
ru,55,sosed,etot gorod,posle vstrechi,sosed nenavidit etot gorod posle vstrechi.,sosed nedolyublivaet etot gorod posle vstrechi.,sosed ravnodushen k etot gorod posle vstrechi.,sosed simpatiziruet etot gorod posle vstrechi.,sosed lyubit etot gorod posle vstrechi.
ru,56,ya,etu sistemu,naedine,ya nenavidit etu sistemu naedine.,ya nedolyublivaet etu sistemu naedine.,ya ravnodushen k etu sistemu naedine.,ya simpatiziruet etu sistemu naedine.,ya lyubit etu sistemu naedine.
ru,57,uchitel,etu pesnyu,posle vstrechi,uchitel nenavidit etu pesnyu posle vstrechi.,uchitel nedolyublivaet etu pesnyu posle vstrechi.,uchitel ravnodushen k etu pesnyu posle vstrechi.,uchitel simpatiziruet etu pesnyu posle vstrechi.,uchitel lyubit etu pesnyu posle vstrechi.
ru,58,sosed,etot dizayn,v kontse,sosed nenavidit etot dizayn v kontse.,sosed nedolyublivaet etot dizayn v kontse.,sosed ravnodushen k etot dizayn v kontse.,sosed simpatiziruet etot dizayn v kontse.,sosed lyubit etot dizayn v kontse.
ru,59,kritik,etot gorod,segodnya,kritik nenavidit etot gorod segodnya.,kritik nedolyublivaet etot gorod segodnya.,kritik ravnodushen k etot gorod segodnya.,kritik simpatiziruet etot gorod segodnya.,kritik lyubit etot gorod segodnya.
ru,60,ona,etot film,segodnya,ona nenavidit etot film segodnya.,ona nedolyublivaet etot film segodnya.,ona ravnodushen k etot film segodnya.,ona simpatiziruet etot film segodnya.,ona lyubit etot film segodnya.
ru,61,kritik,etu sistemu,v kontse,kritik nenavidit etu sistemu v kontse.,kritik nedolyublivaet etu sistemu v kontse.,kritik ravnodushen k etu sistemu v kontse.,kritik simpatiziruet etu sistemu v kontse.,kritik lyubit etu sistemu v kontse.
ru,62,ya,etot gorod,v kontse,ya nenavidit etot gorod v kontse.,ya nedolyublivaet etot gorod v kontse.,ya ravnodushen k etot gorod v kontse.,ya simpatiziruet etot gorod v kontse.,ya lyubit etot gorod v kontse.
ru,63,ona,tebya,segodnya,ona nenavidit tebya segodnya.,ona nedolyublivaet tebya segodnya.,ona ravnodushen k tebya segodnya.,ona simpatiziruet tebya segodnya.,ona lyubit tebya segodnya.
ru,64,kritik,tebya,v kontse,kritik nenavidit tebya v kontse.,kritik nedolyublivaet tebya v kontse.,kritik ravnodushen k tebya v kontse.,kritik simpatiziruet tebya v kontse.,kritik lyubit tebya v kontse.
ru,65,kritik,etot gorod,posle vstrechi,kritik nenavidit etot gorod posle vstrechi.,kritik nedolyublivaet etot gorod posle vstrechi.,kritik ravnodushen k etot gorod posle vstrechi.,kritik simpatiziruet etot gorod posle vstrechi.,kritik lyubit etot gorod posle vstrechi.
ru,66,uchitel,etu sistemu,v kontse,uchitel nenavidit etu sistemu v kontse.,uchitel nedolyublivaet etu sistemu v kontse.,uchitel ravnodushen k etu sistemu v kontse.,uchitel simpatiziruet etu sistemu v kontse.,uchitel lyubit etu sistemu v kontse.
ru,67,ya,etu ideyu,segodnya,ya nenavidit etu ideyu segodnya.,ya nedolyublivaet etu ideyu segodnya.,ya ravnodushen k etu ideyu segodnya.,ya simpatiziruet etu ideyu segodnya.,ya lyubit etu ideyu segodnya.
ru,68,ya,etu ideyu,posle vstrechi,ya nenavidit etu ideyu posle vstrechi.,ya nedolyublivaet etu ideyu posle vstrechi.,ya ravnodushen k etu ideyu posle vstrechi.,ya simpatiziruet etu ideyu posle vstrechi.,ya lyubit etu ideyu posle vstrechi.
ru,69,ona,eto predlozhenie,naedine,ona nenavidit eto predlozhenie naedine.,ona nedolyublivaet eto predlozhenie naedine.,ona ravnodushen k eto predlozhenie naedine.,ona simpatiziruet eto predlozhenie naedine.,ona lyubit eto predlozhenie naedine.
ru,70,ona,etu pesnyu,naedine,ona nenavidit etu pesnyu naedine.,ona nedolyublivaet etu pesnyu naedine.,ona ravnodushen k etu pesnyu naedine.,ona simpatiziruet etu pesnyu naedine.,ona lyubit etu pesnyu naedine.
ru,71,ona,etu ideyu,naedine,ona nenavidit etu ideyu naedine.,ona nedolyublivaet etu ideyu naedine.,ona ravnodushen k etu ideyu naedine.,ona simpatiziruet etu ideyu naedine.,ona lyubit etu ideyu naedine.
ru,72,polzovatel,eto predlozhenie,vo vremya obzora,polzovatel nenavidit eto predlozhenie vo vremya obzora.,polzovatel nedolyublivaet eto predlozhenie vo vremya obzora.,polzovatel ravnodushen k eto predlozhenie vo vremya obzora.,polzovatel simpatiziruet eto predlozhenie vo vremya obzora.,polzovatel lyubit eto predlozhenie vo vremya obzora.
ru,73,issledovatel,eto predlozhenie,vo vremya obzora,issledovatel nenavidit eto predlozhenie vo vremya obzora.,issledovatel nedolyublivaet eto predlozhenie vo vremya obzora.,issledovatel ravnodushen k eto predlozhenie vo vremya obzora.,issledovatel simpatiziruet eto predlozhenie vo vremya obzora.,issledovatel lyubit eto predlozhenie vo vremya obzora.
ru,74,issledovatel,etot film,posle vstrechi,issledovatel nenavidit etot film posle vstrechi.,issledovatel nedolyublivaet etot film posle vstrechi.,issledovatel ravnodushen k etot film posle vstrechi.,issledovatel simpatiziruet etot film posle vstrechi.,issledovatel lyubit etot film posle vstrechi.
